No, norm, delta_time
1, 0.0383586, 0.005
2, 0.0376338, 0.005
3, 0.0375733, 0.005
4, 0.0376146, 0.005
5, 0.0377117, 0.005
6, 0.0378407, 0.005
7, 0.0379838, 0.005
8, 0.0381427, 0.005
9, 0.0383146, 0.005
10, 0.0384936, 0.005
11, 0.0386803, 0.005
12, 0.0388757, 0.005
13, 0.0390775, 0.005
14, 0.0392845, 0.005
15, 0.0394977, 0.005
16, 0.0397175, 0.005
17, 0.0399427, 0.005
18, 0.0401725, 0.005
19, 0.0404082, 0.005
20, 0.0406501, 0.005
21, 0.0408973, 0.005
22, 0.0411492, 0.005
23, 0.0414068, 0.005
24, 0.0416709, 0.005
25, 0.0419408, 0.005
26, 0.0422157, 0.005
27, 0.0424963, 0.005
28, 0.0427836, 0.005
29, 0.0430778, 0.005
30, 0.0433776, 0.005
31, 0.0436832, 0.005
32, 0.0439957, 0.005
33, 0.044316, 0.005
34, 0.0446435, 0.005
35, 0.0449772, 0.005
36, 0.0453175, 0.005
37, 0.0456662, 0.005
38, 0.046024, 0.005
39, 0.0463898, 0.005
40, 0.0467623, 0.005
41, 0.0471425, 0.005
42, 0.0475328, 0.005
43, 0.0479341, 0.005
44, 0.0483445, 0.005
45, 0.0487624, 0.005
46, 0.0491888, 0.005
47, 0.0496273, 0.005
48, 0.0500794, 0.005
49, 0.050543, 0.005
50, 0.0510147, 0.005
51, 0.0514953, 0.005
52, 0.0519895, 0.005
53, 0.0525012, 0.005
54, 0.0530285, 0.005
55, 0.053566, 0.005
56, 0.0541113, 0.005
57, 0.0546699, 0.005
58, 0.0552499, 0.005
59, 0.0558533, 0.005
60, 0.0564727, 0.005
61, 0.0570993, 0.005
62, 0.057734, 0.005
63, 0.0583891, 0.005
64, 0.0590769, 0.005
65, 0.0597961, 0.005
66, 0.0605307, 0.005
67, 0.0612657, 0.005
68, 0.0620045, 0.005
69, 0.0627702, 0.005
70, 0.0635863, 0.005
71, 0.0644517, 0.005
72, 0.0653367, 0.005
73, 0.066205, 0.005
74, 0.0670487, 0.005
75, 0.0679042, 0.005
76, 0.0688305, 0.005
77, 0.0698602, 0.005
78, 0.0709611, 0.005
79, 0.0720417, 0.005
80, 0.0730052, 0.005
81, 0.073827, 0.005
82, 0.0746038, 0.005
83, 0.0755249, 0.005
84, 0.0767685, 0.005
85, 0.078376, 0.005
86, 0.0801617, 0.005
87, 0.081699, 0.005
88, 0.0824077, 0.005
89, 0.0817315, 0.005
90, 0.0793164, 0.005
91, 0.0751029, 0.005
92, 0.0693268, 0.005
93, 0.0624564, 0.005
94, 0.0550755, 0.005
95, 0.047742, 0.005
96, 0.040882, 0.005
97, 0.0347487, 0.005
98, 0.0294386, 0.005
99, 0.0249352, 0.005
100, 0.0211581, 0.005
101, 0.0180013, 0.005
102, 0.0153588, 0.005
103, 0.0131367, 0.005
104, 0.0112577, 0.005
105, 0.00966034, 0.005
106, 0.00829638, 0.005
107, 0.00712789, 0.005
108, 0.00612464, 0.005
109, 0.00526208, 0.005
110, 0.00451995, 0.005
111, 0.00388126, 0.005
112, 0.00333161, 0.005
113, 0.0028587, 0.005
114, 0.00245193, 0.005
115, 0.00210221, 0.005
116, 0.00180166, 0.005
117, 0.00154348, 0.005
118, 0.0013218, 0.005
119, 0.00113154, 0.005
120, 0.00096832, 0.005
121, 0.000828354, 0.005
122, 0.000708376, 0.005
123, 0.000605573, 0.005
124, 0.000517517, 0.005
125, 0.000442122, 0.005
126, 0.000377589, 0.005
127, 0.000322373, 0.005
128, 0.000275144, 0.005
129, 0.000234761, 0.005
130, 0.000200243, 0.005
131, 0.000170748, 0.005
132, 0.000145553, 0.005
133, 0.000124037, 0.005
134, 0.00010567, 0.005
135, 8.99959e-05, 0.005
136, 7.66235e-05, 0.005
137, 6.52185e-05, 0.005
138, 5.54945e-05, 0.005
139, 4.72063e-05, 0.005
140, 4.01441e-05, 0.005
141, 3.41284e-05, 0.005
142, 2.90056e-05, 0.005
143, 2.46445e-05, 0.005
144, 2.0933e-05, 0.005
145, 1.77753e-05, 0.005
146, 1.50895e-05, 0.005
147, 1.28059e-05, 0.005
148, 1.08647e-05, 0.005
149, 9.21513e-06, 0.005
150, 7.81378e-06, 0.005
151, 6.62364e-06, 0.005
152, 5.61318e-06, 0.005
153, 4.75553e-06, 0.005
154, 4.02778e-06, 0.005
155, 3.41045e-06, 0.005
156, 2.88693e-06, 0.005
157, 2.44309e-06, 0.005
158, 2.06692e-06, 0.005
159, 1.74819e-06, 0.005
160, 1.4782e-06, 0.005
161, 1.24957e-06, 0.005
162, 1.05601e-06, 0.005
163, 8.922e-07, 0.005
164, 7.53595e-07, 0.005
165, 6.36354e-07, 0.005
166, 5.37209e-07, 0.005
167, 4.53392e-07, 0.005
168, 3.82553e-07, 0.005
169, 3.22697e-07, 0.005
170, 2.72136e-07, 0.005
171, 2.29438e-07, 0.005
172, 1.9339e-07, 0.005
173, 1.62965e-07, 0.005
174, 1.37291e-07, 0.005
175, 1.15633e-07, 0.005
176, 9.73673e-08, 0.005
177, 8.19666e-08, 0.005
178, 6.89849e-08, 0.005
179, 5.8045e-08, 0.005
180, 4.88282e-08, 0.005
181, 4.10649e-08, 0.005
182, 3.45277e-08, 0.005
