No, norm, delta_time
1, 0.172614, 0.0225
2, 0.197707, 0.0221682
3, 0.254163, 0.0216296
4, 0.360338, 0.020917
5, 0.374843, 0.0202389
6, 0.320944, 0.021504
7, 0.323187, 0.0217056
8, 0.332026, 0.0216882
9, 0.33724, 0.0213424
10, 0.405383, 0.020729
11, 0.439333, 0.020171
12, 0.455057, 0.0201854
13, 0.524353, 0.0196044
14, 0.478955, 0.019885
15, 0.413787, 0.0219428
16, 0.434751, 0.0216893
17, 0.461494, 0.0214661
18, 0.550237, 0.0210006
19, 0.670166, 0.0203965
20, 0.66836, 0.0207107
21, 0.5462, 0.0218299
22, 0.49855, 0.0212766
23, 0.306968, 0.0217688
24, 0.102735, 0.0221759
25, 0.164927, 0.0223306
26, 0.0274892, 0.0220941
27, 0.0282759, 0.022207
28, 0.0142991, 0.0224941
29, 0.00359854, 0.0224505
30, 0.000711629, 0.0224977
31, 0.00101927, 0.0224987
32, 0.000503128, 0.022494
33, 0.000171337, 0.0225
34, 5.55808e-05, 0.0224993
35, 1.40076e-05, 0.0225
36, 4.04394e-06, 0.0224999
37, 7.90457e-07, 0.0225
38, 1.55055e-07, 0.0225
