No, norm, delta_time
1, 0.172614, 0.0225
2, 0.203636, 0.0221682
3, 0.323, 0.021468
4, 0.461877, 0.0199739
5, 0.451994, 0.0189679
6, 0.432595, 0.0211351
7, 0.494237, 0.0214735
8, 0.548741, 0.0208484
9, 0.496138, 0.0191843
10, 0.50337, 0.0210522
11, 0.522575, 0.019106
12, 0.472301, 0.0205261
13, 0.457132, 0.0189444
14, 0.454781, 0.0208581
15, 0.666868, 0.0207307
16, 0.965816, 0.0185624
17, 1.26724, 0.0151255
18, 1.15963, 0.013598
19, 0.853013, 0.0159221
20, 0.662938, 0.0211142
21, 0.647318, 0.0211094
22, 1.03919, 0.0197635
23, 0.680452, 0.0201041
24, 0.542848, 0.0205688
25, 0.37681, 0.0213666
26, 0.362531, 0.020713
27, 0.493588, 0.0221277
28, 0.282309, 0.0210645
29, 0.533061, 0.0188615
30, 0.38247, 0.0223087
31, 0.209576, 0.0212912
32, 0.367559, 0.0196517
33, 0.243629, 0.0224577
34, 0.0583992, 0.0220276
35, 0.122478, 0.0214743
36, 0.0839166, 0.022493
37, 0.0110362, 0.0223254
38, 0.00732238, 0.0224261
39, 0.00439294, 0.0224971
40, 0.00209412, 0.0224766
41, 0.000893673, 0.0224999
42, 0.00026722, 0.0224967
43, 5.75167e-05, 0.0224999
44, 3.51265e-05, 0.0224998
45, 6.40704e-05, 0.0224994
46, 4.26667e-05, 0.0225
47, 6.35043e-06, 0.0224999
48, 6.81105e-06, 0.0224999
49, 4.54042e-06, 0.0225
50, 1.44467e-06, 0.0225
51, 4.39483e-07, 0.0225
52, 1.38182e-07, 0.0225
