No, norm, delta_time
1, 0.172614, 0.0225
2, 0.198929, 0.0221682
3, 0.266986, 0.0216158
4, 0.394342, 0.0207986
5, 0.455166, 0.0199291
6, 0.465715, 0.0208254
7, 0.500848, 0.0210145
8, 0.515147, 0.0204092
9, 0.502213, 0.0200027
10, 0.541953, 0.0196764
11, 0.711653, 0.0190194
12, 0.907592, 0.0173495
13, 0.974309, 0.0159854
14, 0.895416, 0.0157556
15, 0.818107, 0.0167622
16, 0.770149, 0.0184019
17, 0.711124, 0.0200913
18, 0.952733, 0.0195668
19, 1.17267, 0.0163476
20, 0.942545, 0.0163258
21, 0.694442, 0.0217379
22, 0.726715, 0.0215604
23, 0.720104, 0.0211588
24, 0.389537, 0.021581
25, 0.311815, 0.0221267
26, 0.366313, 0.0214786
27, 0.388249, 0.0203464
28, 0.658013, 0.019285
29, 0.560405, 0.0175445
30, 0.247702, 0.0224731
31, 0.0178895, 0.0222129
32, 0.0154806, 0.0223609
33, 0.0123273, 0.0224841
34, 0.00665132, 0.022426
35, 0.00304625, 0.0224987
36, 0.0012486, 0.0224855
37, 0.000471029, 0.0225
38, 0.000169458, 0.022498
39, 6.27948e-05, 0.0225
40, 2.65513e-05, 0.0224997
41, 1.26833e-05, 0.0225
42, 6.16566e-06, 0.0224999
43, 2.89385e-06, 0.0225
44, 1.28833e-06, 0.0225
45, 5.40469e-07, 0.0225
46, 2.11908e-07, 0.0225
47, 7.6363e-08, 0.0225
