No, norm, delta_time
0, 1.03689, 0.015
1, 1.03761, 0.015
2, 1.03883, 0.015
3, 1.04117, 0.015
4, 1.0454, 0.015
5, 1.04228, 0.015
6, 1.04355, 0.015
7, 1.04703, 0.015
8, 1.05075, 0.015
9, 1.04635, 0.015
10, 1.04723, 0.015
11, 1.05512, 0.015
12, 1.05045, 0.015
13, 1.04766, 0.015
14, 1.05532, 0.015
15, 1.05377, 0.015
16, 1.05331, 0.015
17, 1.06166, 0.015
18, 1.05091, 0.015
19, 1.05429, 0.015
20, 1.06205, 0.015
21, 1.05968, 0.015
22, 1.05579, 0.015
23, 1.05986, 0.015
24, 1.05704, 0.015
25, 1.05628, 0.015
26, 1.05748, 0.015
27, 1.05624, 0.015
28, 1.05894, 0.015
29, 1.05697, 0.015
30, 1.06025, 0.015
31, 1.05077, 0.015
32, 1.05836, 0.015
33, 1.06082, 0.015
34, 1.05102, 0.015
35, 1.05859, 0.015
36, 1.06715, 0.015
37, 1.05289, 0.015
38, 1.06032, 0.015
39, 1.05278, 0.015
40, 1.06073, 0.015
41, 1.05215, 0.015
42, 1.05419, 0.015
43, 1.06202, 0.015
44, 1.04968, 0.015
45, 1.06032, 0.015
46, 1.05128, 0.015
47, 1.05107, 0.015
48, 1.05337, 0.015
49, 1.05443, 0.015
50, 1.07156, 0.015
51, 1.05846, 0.015
52, 1.04765, 0.015
53, 1.05317, 0.015
54, 1.04853, 0.015
55, 1.06887, 0.015
56, 1.05354, 0.015
57, 1.04305, 0.015
58, 1.05523, 0.015
59, 1.04894, 0.015
60, 1.0503, 0.015
61, 1.02688, 0.015
62, 1.02252, 0.015
63, 1.01157, 0.015
64, 1.00818, 0.015
65, 1.00426, 0.015
66, 1.00269, 0.015
67, 1.0014, 0.015
68, 1.00088, 0.015
69, 1.00045, 0.015
70, 1.00029, 0.015
71, 1.00015, 0.015
72, 1.0001, 0.015
73, 1.00005, 0.015
74, 1.00003, 0.015
75, 1.00002, 0.015
76, 1.00001, 0.015
77, 1.00001, 0.015
78, 1, 0.015
79, 1, 0.015
80, 1, 0.015
81, 1, 0.015
82, 1, 0.015
83, 1, 0.015
84, 1, 0.015
85, 1, 0.015
86, 1, 0.015
87, 1, 0.015
