No, norm, delta_time
0, 1.03689, 0.015
1, 1.03747, 0.015
2, 1.03832, 0.015
3, 1.03953, 0.015
4, 1.04124, 0.015
5, 1.04363, 0.015
6, 1.04694, 0.015
7, 1.05139, 0.015
8, 1.05715, 0.015
9, 1.06407, 0.015
10, 1.07185, 0.015
11, 1.08031, 0.015
12, 1.08983, 0.015
13, 1.10119, 0.015
14, 1.11445, 0.015
15, 1.12797, 0.015
16, 1.13952, 0.015
17, 1.14999, 0.015
18, 1.1647, 0.015
19, 1.18603, 0.015
20, 1.20677, 0.015
21, 1.21998, 0.015
22, 1.23249, 0.015
23, 1.25599, 0.015
24, 1.28494, 0.015
25, 1.30709, 0.015
26, 1.32331, 0.015
27, 1.33965, 0.014987
28, 1.36435, 0.015
29, 1.39912, 0.0149246
30, 1.4116, 0.0146908
31, 1.40632, 0.015
32, 1.43251, 0.0148653
33, 1.47365, 0.0145416
34, 1.45962, 0.015
35, 1.44537, 0.0147761
36, 1.49557, 0.0144693
37, 1.49752, 0.0149232
38, 1.4333, 0.0146507
39, 1.49214, 0.014503
40, 1.46171, 0.0146287
41, 1.42217, 0.0145342
42, 1.46304, 0.0144873
43, 1.34379, 0.0145894
44, 1.37585, 0.0145098
45, 1.35549, 0.015
46, 1.32528, 0.0145886
47, 1.3331, 0.014679
48, 1.30575, 0.0149122
49, 1.32364, 0.0144871
50, 1.21901, 0.015
51, 1.21286, 0.0146082
52, 1.21491, 0.015
53, 1.21076, 0.015
54, 1.19847, 0.015
55, 1.19291, 0.015
56, 1.17491, 0.015
57, 1.17719, 0.015
58, 1.17072, 0.015
59, 1.18005, 0.015
60, 1.11377, 0.015
61, 1.0337, 0.015
62, 1.00549, 0.015
63, 1.00072, 0.015
64, 1.00009, 0.015
65, 1.00001, 0.015
66, 1, 0.015
67, 1, 0.015
68, 1, 0.015
