No, norm, delta_time
0, 0, 0
0, 0.0553338, 0.0225
1, 0.0591062, 0.0224055
2, 0.0838361, 0.0221936
3, 0.100835, 0.0216361
4, 0.0945469, 0.0218986
5, 0.0960174, 0.0221081
6, 0.0868959, 0.0220987
7, 0.105648, 0.0220903
8, 0.121987, 0.021999
9, 0.156547, 0.0217211
10, 0.17651, 0.0208368
11, 0.154422, 0.0213506
12, 0.170936, 0.0217342
13, 0.149468, 0.0213287
14, 0.180028, 0.021134
15, 0.233076, 0.0203616
16, 0.212567, 0.0209483
17, 0.229168, 0.0214342
18, 0.270678, 0.0211912
19, 0.333386, 0.0207766
20, 0.405871, 0.0193298
21, 0.377102, 0.0201854
22, 0.346961, 0.0211113
23, 0.332695, 0.0214746
24, 0.331567, 0.0213855
25, 0.376412, 0.0200954
26, 0.35902, 0.0201088
27, 0.338944, 0.0209767
28, 0.294652, 0.020122
29, 0.37525, 0.0197191
30, 0.418033, 0.0182728
31, 0.323489, 0.0197898
32, 0.259916, 0.0208362
33, 0.254656, 0.0208458
34, 0.293485, 0.0207142
35, 0.281135, 0.0201604
36, 0.372741, 0.0206735
37, 0.420057, 0.0185922
38, 0.54757, 0.0179992
39, 0.572878, 0.0165299
40, 0.651601, 0.018726
41, 0.655301, 0.0165536
42, 0.577521, 0.0158417
43, 0.461397, 0.0176117
44, 0.503543, 0.0185317
45, 0.400438, 0.0185393
46, 0.530383, 0.0182258
47, 1.43076, 0.0169541
48, 1.28536, 0.0110314
49, 1.13595, 0.0106718
50, 2.117, 0.0128643
51, 1.29669, 0.00782881
52, 0.762652, 0.0142181
53, 0.43349, 0.0224566
54, 0.394614, 0.0222862
55, 0.468234, 0.0224427
56, 0.382255, 0.0224489
57, 0.402737, 0.0224925
58, 0.370577, 0.0224982
59, 0.048687, 0.0213161
60, 0.00609229, 0.0223468
61, 0.000585292, 0.0224828
62, 0.000254964, 0.0224953
63, 9.13334e-05, 0.0224998
64, 0.000120387, 0.0224989
65, 2.57196e-05, 0.0224992
66, 9.54272e-06, 0.0224998
67, 6.92392e-07, 0.0225
68, 9.17891e-08, 0.0225
69, 4.862e-08, 0.0225
