No, norm, delta_time
0, 0, 0
0, 0.0553338, 0.0225
1, 0.0578312, 0.0224055
2, 0.0668893, 0.0222531
3, 0.0905114, 0.0220076
4, 0.122221, 0.0217449
5, 0.153324, 0.0216005
6, 0.179773, 0.0216242
7, 0.198056, 0.0217113
8, 0.207085, 0.0213435
9, 0.217796, 0.0209778
10, 0.258781, 0.0203599
11, 0.302804, 0.0199996
12, 0.344031, 0.0201637
13, 0.408726, 0.0208311
14, 0.46405, 0.0200471
15, 0.523837, 0.0194202
16, 0.561592, 0.0186599
17, 0.602633, 0.019283
18, 0.703412, 0.0196525
19, 0.74462, 0.0177279
20, 0.733911, 0.0180182
21, 0.792173, 0.0198259
22, 0.908802, 0.018499
23, 0.935007, 0.0174038
24, 0.866076, 0.0172958
25, 0.926604, 0.0195244
26, 1.03325, 0.0177473
27, 1.01728, 0.0167557
28, 0.904145, 0.0172123
29, 1.02676, 0.0193148
30, 1.12349, 0.0172272
31, 1.02908, 0.0154945
32, 0.861597, 0.0169021
33, 1.04795, 0.0190117
34, 1.12512, 0.0159966
35, 1.00597, 0.0140908
36, 0.824634, 0.0158881
37, 0.963106, 0.0171946
38, 1.05081, 0.0145023
39, 0.979776, 0.0130308
40, 0.772661, 0.0147466
41, 0.967442, 0.0157924
42, 1.10603, 0.0133383
43, 1.06596, 0.0118677
44, 0.815538, 0.0134094
45, 0.958934, 0.0147971
46, 1.02859, 0.012775
47, 0.592882, 0.0116576
48, 0.300585, 0.0166639
49, 0.249064, 0.0205162
50, 0.264721, 0.0225
51, 0.221122, 0.0225
52, 0.286811, 0.0225
53, 0.32222, 0.022484
54, 0.254517, 0.0223616
55, 0.146451, 0.0221145
56, 0.16994, 0.0216996
57, 0.027466, 0.0216663
58, 0.0113808, 0.0222312
59, 0.000736342, 0.0224833
60, 0.000488785, 0.0224962
61, 0.000632067, 0.022494
62, 0.000763835, 0.0224948
63, 0.000749411, 0.0224927
64, 0.000218707, 0.0224951
65, 0.000277931, 0.0224948
66, 2.48243e-05, 0.0225
67, 2.25191e-05, 0.0224999
68, 5.88752e-07, 0.0225
69, 6.39807e-07, 0.0225
70, 3.16992e-08, 0.0225
