No, norm, delta_time
0, 1.03689, 0.015
1, 1.03748, 0.015
2, 1.03835, 0.015
3, 1.03884, 0.015
4, 1.03869, 0.015
5, 1.03854, 0.015
6, 1.0398, 0.015
7, 1.04148, 0.015
8, 1.04088, 0.015
9, 1.04018, 0.015
10, 1.04155, 0.015
11, 1.04211, 0.015
12, 1.04239, 0.015
13, 1.0443, 0.015
14, 1.04338, 0.015
15, 1.04194, 0.015
16, 1.04507, 0.015
17, 1.04511, 0.015
18, 1.04417, 0.015
19, 1.04674, 0.015
20, 1.04535, 0.015
21, 1.04535, 0.015
22, 1.04715, 0.015
23, 1.0462, 0.015
24, 1.04907, 0.015
25, 1.04826, 0.015
26, 1.04703, 0.015
27, 1.04843, 0.015
28, 1.04778, 0.015
29, 1.05277, 0.015
30, 1.05029, 0.015
31, 1.04794, 0.015
32, 1.05093, 0.015
33, 1.04893, 0.015
34, 1.05565, 0.015
35, 1.05231, 0.015
36, 1.04859, 0.015
37, 1.05321, 0.015
38, 1.05024, 0.015
39, 1.05733, 0.015
40, 1.05288, 0.015
41, 1.04937, 0.015
42, 1.05431, 0.015
43, 1.05075, 0.015
44, 1.05845, 0.015
45, 1.05262, 0.015
46, 1.05021, 0.015
47, 1.05279, 0.015
48, 1.04805, 0.015
49, 1.05683, 0.015
50, 1.05023, 0.015
51, 1.05196, 0.015
52, 1.0544, 0.015
53, 1.04568, 0.015
54, 1.04987, 0.015
55, 1.0409, 0.015
56, 1.04378, 0.015
57, 1.04477, 0.015
58, 1.04246, 0.015
59, 1.05036, 0.015
60, 1.04701, 0.015
61, 1.03292, 0.015
62, 1.02169, 0.015
63, 1.01145, 0.015
64, 1.00689, 0.015
65, 1.00361, 0.015
66, 1.00202, 0.015
67, 1.00105, 0.015
68, 1.00056, 0.015
69, 1.00029, 0.015
70, 1.00015, 0.015
71, 1.00008, 0.015
72, 1.00004, 0.015
73, 1.00002, 0.015
74, 1.00001, 0.015
75, 1, 0.015
76, 1, 0.015
77, 1, 0.015
78, 1, 0.015
79, 1, 0.015
80, 1, 0.015
81, 1, 0.015
82, 1, 0.015
