No, norm, delta_time
1, 0.134283, 1
2, 0.0495659, 1
3, 0.034763, 1
4, 0.0286485, 1
5, 0.0260291, 1
6, 0.0247502, 1
7, 0.0240902, 1
8, 0.0237278, 1
9, 0.0235194, 1
10, 0.0233943, 1
11, 0.0233166, 1
12, 0.0232667, 1
13, 0.0232339, 1
14, 0.0232119, 1
15, 0.0231968, 1
16, 0.0231862, 1
17, 0.0231788, 1
18, 0.0231735, 1
19, 0.0231697, 1
20, 0.023167, 1
21, 0.023165, 1
22, 0.0231636, 1
23, 0.0231625, 1
24, 0.0231618, 1
25, 0.0231612, 1
26, 0.0231608, 1
27, 0.0231604, 1
28, 0.0231602, 1
29, 0.02316, 1
30, 0.0231599, 1
31, 0.0231598, 1
32, 0.0231597, 1
33, 0.0231596, 1
34, 0.0231596, 1
35, 0.0231596, 1
36, 0.0231596, 1
37, 0.0231595, 1
38, 0.0231595, 1
39, 0.0231595, 1
40, 0.0231595, 1
41, 0.0231595, 1
42, 0.0231595, 1
43, 0.0231595, 1
44, 0.0231595, 1
45, 0.0231595, 1
46, 0.0231595, 1
47, 0.0231595, 1
48, 0.0231595, 1
49, 0.0231595, 1
50, 0.0231595, 1
51, 0.0231595, 1
52, 0.0231595, 1
53, 0.0231595, 1
54, 0.0231595, 1
55, 0.0231595, 1
56, 0.0231595, 1
57, 0.0231595, 1
58, 0.0231595, 1
59, 0.0231595, 1
60, 0.0231595, 1
61, 0.0231595, 1
62, 0.0231595, 1
63, 0.0231595, 1
64, 0.0231595, 1
65, 0.0231595, 1
66, 0.0231595, 1
67, 0.0231595, 1
68, 0.0231595, 1
69, 0.0231595, 1
70, 0.0231595, 1
71, 0.0231595, 1
72, 0.0231595, 1
73, 0.0231595, 1
74, 0.0231595, 1
75, 0.0231595, 1
76, 0.0231595, 1
77, 0.0231595, 1
78, 0.0231595, 1
79, 0.0231595, 1
80, 0.0231595, 1
81, 0.0231595, 1
82, 0.0231595, 1
83, 0.0231595, 1
84, 0.0231595, 1
85, 0.0231595, 1
86, 0.0231595, 1
87, 0.0231595, 1
88, 0.0231595, 1
89, 0.0231595, 1
90, 0.0231595, 1
91, 0.0231595, 1
92, 0.0231595, 1
93, 0.0231595, 1
94, 0.0231595, 1
95, 0.0231595, 1
96, 0.0231595, 1
97, 0.0231595, 1
98, 0.0231595, 1
99, 0.0231595, 1
100, 0.0231595, 1
101, 0.0231595, 1
102, 0.0231595, 1
103, 0.0231595, 1
