No, norm, delta_time
1, 0.109941, 1
2, 0.0536425, 1
3, 0.0373283, 1
4, 0.0305182, 1
5, 0.0272788, 1
6, 0.0256075, 1
7, 0.0246873, 1
8, 0.0241514, 1
9, 0.0238237, 1
10, 0.0236146, 1
11, 0.023476, 1
12, 0.0233813, 1
13, 0.0233147, 1
14, 0.0232668, 1
15, 0.0232318, 1
16, 0.0232057, 1
17, 0.023186, 1
18, 0.023171, 1
19, 0.0231596, 1
20, 0.0231507, 1
21, 0.0231439, 1
22, 0.0231386, 1
23, 0.0231344, 1
24, 0.0231312, 1
25, 0.0231287, 1
26, 0.0231267, 1
27, 0.0231252, 1
28, 0.023124, 1
29, 0.0231231, 1
30, 0.0231223, 1
31, 0.0231218, 1
32, 0.0231213, 1
33, 0.023121, 1
34, 0.0231207, 1
35, 0.0231205, 1
36, 0.0231204, 1
37, 0.0231203, 1
38, 0.0231202, 1
39, 0.0231202, 1
40, 0.0231201, 1
41, 0.0231201, 1
42, 0.0231201, 1
43, 0.02312, 1
44, 0.02312, 1
45, 0.02312, 1
46, 0.02312, 1
47, 0.02312, 1
48, 0.02312, 1
49, 0.02312, 1
50, 0.0231199, 1
51, 0.0231199, 1
52, 0.0231199, 1
53, 0.0231199, 1
54, 0.0231199, 1
55, 0.0231199, 1
56, 0.0231199, 1
57, 0.0231199, 1
58, 0.0231199, 1
59, 0.02312, 1
60, 0.02312, 1
61, 0.02312, 1
62, 0.02312, 1
63, 0.02312, 1
64, 0.02312, 1
65, 0.02312, 1
66, 0.02312, 1
67, 0.02312, 1
68, 0.02312, 1
69, 0.02312, 1
70, 0.0231199, 1
71, 0.0231199, 1
72, 0.0231199, 1
73, 0.0231199, 1
74, 0.0231199, 1
75, 0.0231199, 1
76, 0.0231199, 1
77, 0.0231199, 1
78, 0.0231199, 1
79, 0.02312, 1
80, 0.02312, 1
81, 0.02312, 1
82, 0.02312, 1
83, 0.02312, 1
84, 0.02312, 1
85, 0.02312, 1
86, 0.02312, 1
87, 0.02312, 1
88, 0.02312, 1
89, 0.0231199, 1
90, 0.0231199, 1
91, 0.0231199, 1
92, 0.0231199, 1
93, 0.0231199, 1
94, 0.0231199, 1
95, 0.0231199, 1
96, 0.0231199, 1
97, 0.0231199, 1
98, 0.0231199, 1
99, 0.02312, 1
100, 0.02312, 1
101, 0.02312, 1
102, 0.02312, 1
103, 0.02312, 1
104, 0.02312, 1
105, 0.02312, 1
106, 0.02312, 1
107, 0.02312, 1
108, 0.02312, 1
109, 0.0231199, 1
110, 0.0231199, 1
111, 0.0231199, 1
112, 0.0231199, 1
113, 0.0231199, 1
114, 0.0231199, 1
115, 0.0231199, 1
116, 0.0231199, 1
117, 0.0231199, 1
118, 0.0231199, 1
119, 0.02312, 1
120, 0.02312, 1
121, 0.02312, 1
122, 0.02312, 1
123, 0.02312, 1
124, 0.02312, 1
125, 0.02312, 1
126, 0.02312, 1
127, 0.02312, 1
128, 0.02312, 1
129, 0.0231199, 1
130, 0.0231199, 1
131, 0.0231199, 1
132, 0.0231199, 1
133, 0.0231199, 1
134, 0.0231199, 1
135, 0.0231199, 1
136, 0.0231199, 1
137, 0.0231199, 1
138, 0.0231199, 1
139, 0.02312, 1
140, 0.02312, 1
141, 0.02312, 1
142, 0.02312, 1
143, 0.02312, 1
144, 0.02312, 1
145, 0.02312, 1
146, 0.02312, 1
147, 0.02312, 1
148, 0.02312, 1
149, 0.0231199, 1
150, 0.0231199, 1
151, 0.0231199, 1
152, 0.0231199, 1
153, 0.0231199, 1
154, 0.0231199, 1
155, 0.0231199, 1
156, 0.0231199, 1
157, 0.0231199, 1
158, 0.0231199, 1
159, 0.02312, 1
160, 0.02312, 1
161, 0.02312, 1
162, 0.02312, 1
163, 0.02312, 1
164, 0.02312, 1
165, 0.02312, 1
166, 0.02312, 1
167, 0.02312, 1
168, 0.02312, 1
169, 0.0231199, 1
170, 0.0231199, 1
171, 0.0231199, 1
172, 0.0231199, 1
173, 0.0231199, 1
174, 0.0231199, 1
175, 0.0231199, 1
176, 0.0231199, 1
177, 0.0231199, 1
178, 0.0231199, 1
179, 0.02312, 1
180, 0.02312, 1
181, 0.02312, 1
182, 0.02312, 1
183, 0.02312, 1
184, 0.02312, 1
185, 0.02312, 1
186, 0.02312, 1
187, 0.02312, 1
188, 0.02312, 1
189, 0.0231199, 1
190, 0.0231199, 1
191, 0.0231199, 1
192, 0.0231199, 1
193, 0.0231199, 1
194, 0.0231199, 1
195, 0.0231199, 1
196, 0.0231199, 1
197, 0.0231199, 1
198, 0.0231199, 1
199, 0.02312, 1
200, 0.02312, 1
201, 0.02312, 1
202, 0.02312, 1
203, 0.02312, 1
204, 0.02312, 1
205, 0.02312, 1
206, 0.02312, 1
207, 0.02312, 1
208, 0.02312, 1
209, 0.0231199, 1
210, 0.0231199, 1
211, 0.0231199, 1
212, 0.0231199, 1
213, 0.0231199, 1
214, 0.0231199, 1
215, 0.0231199, 1
216, 0.0231199, 1
217, 0.0231199, 1
218, 0.0231199, 1
219, 0.02312, 1
220, 0.02312, 1
221, 0.02312, 1
222, 0.02312, 1
223, 0.02312, 1
224, 0.02312, 1
225, 0.02312, 1
226, 0.02312, 1
227, 0.02312, 1
228, 0.02312, 1
229, 0.0231199, 1
230, 0.0231199, 1
231, 0.0231199, 1
232, 0.0231199, 1
233, 0.0231199, 1
234, 0.0231199, 1
235, 0.0231199, 1
236, 0.0231199, 1
237, 0.0231199, 1
238, 0.0231199, 1
239, 0.02312, 1
240, 0.02312, 1
241, 0.02312, 1
242, 0.02312, 1
243, 0.02312, 1
244, 0.02312, 1
245, 0.02312, 1
246, 0.02312, 1
247, 0.02312, 1
248, 0.02312, 1
249, 0.0231199, 1
250, 0.0231199, 1
251, 0.0231199, 1
252, 0.0231199, 1
253, 0.0231199, 1
254, 0.0231199, 1
255, 0.0231199, 1
256, 0.0231199, 1
257, 0.0231199, 1
258, 0.0231199, 1
259, 0.02312, 1
260, 0.02312, 1
261, 0.02312, 1
262, 0.02312, 1
263, 0.02312, 1
264, 0.02312, 1
265, 0.02312, 1
266, 0.02312, 1
267, 0.02312, 1
268, 0.02312, 1
269, 0.0231199, 1
270, 0.0231199, 1
271, 0.0231199, 1
272, 0.0231199, 1
273, 0.0231199, 1
274, 0.0231199, 1
275, 0.0231199, 1
276, 0.0231199, 1
277, 0.0231199, 1
278, 0.0231199, 1
279, 0.02312, 1
280, 0.02312, 1
281, 0.02312, 1
282, 0.02312, 1
283, 0.02312, 1
284, 0.02312, 1
285, 0.02312, 1
286, 0.02312, 1
287, 0.02312, 1
288, 0.02312, 1
289, 0.0231199, 1
290, 0.0231199, 1
291, 0.0231199, 1
292, 0.0231199, 1
293, 0.0231199, 1
294, 0.0231199, 1
295, 0.0231199, 1
296, 0.0231199, 1
297, 0.0231199, 1
298, 0.0231199, 1
299, 0.02312, 1
300, 0.02312, 1
301, 0.02312, 1
302, 0.02312, 1
303, 0.02312, 1
304, 0.02312, 1
305, 0.02312, 1
306, 0.02312, 1
307, 0.02312, 1
308, 0.02312, 1
309, 0.0231199, 1
310, 0.0231199, 1
311, 0.0231199, 1
312, 0.0231199, 1
313, 0.0231199, 1
314, 0.0231199, 1
315, 0.0231199, 1
316, 0.0231199, 1
317, 0.0231199, 1
318, 0.0231199, 1
319, 0.02312, 1
320, 0.02312, 1
321, 0.02312, 1
322, 0.02312, 1
323, 0.02312, 1
324, 0.02312, 1
325, 0.02312, 1
326, 0.02312, 1
327, 0.02312, 1
328, 0.02312, 1
329, 0.0231199, 1
330, 0.0231199, 1
331, 0.0231199, 1
332, 0.0231199, 1
333, 0.0231199, 1
334, 0.0231199, 1
335, 0.0231199, 1
336, 0.0231199, 1
337, 0.0231199, 1
338, 0.0231199, 1
339, 0.02312, 1
340, 0.02312, 1
341, 0.02312, 1
342, 0.02312, 1
343, 0.02312, 1
344, 0.02312, 1
345, 0.02312, 1
346, 0.02312, 1
347, 0.02312, 1
348, 0.02312, 1
349, 0.0231199, 1
350, 0.0231199, 1
351, 0.0231199, 1
352, 0.0231199, 1
353, 0.0231199, 1
354, 0.0231199, 1
355, 0.0231199, 1
356, 0.0231199, 1
357, 0.0231199, 1
358, 0.0231199, 1
359, 0.02312, 1
360, 0.02312, 1
361, 0.02312, 1
362, 0.02312, 1
