No, norm, delta_time
1, 0.065603, 0.0175
2, 0.0689176, 0.0174867
3, 0.0751106, 0.0174685
4, 0.084484, 0.0174508
5, 0.0852852, 0.0174886
6, 0.0793611, 0.0174919
7, 0.0791587, 0.0174972
8, 0.0820922, 0.0174937
9, 0.0843252, 0.0174836
10, 0.0843269, 0.0174961
11, 0.0824997, 0.0174993
12, 0.0831437, 0.0174945
13, 0.0883237, 0.0174855
14, 0.0966532, 0.0174937
15, 0.0944958, 0.0174988
16, 0.0876102, 0.0174985
17, 0.0889757, 0.0174882
18, 0.100731, 0.0174748
19, 0.116526, 0.0174907
20, 0.131625, 0.0174993
21, 0.116289, 0.0174992
22, 0.0995404, 0.0174993
23, 0.0948191, 0.0174995
24, 0.101299, 0.0174908
25, 0.113398, 0.0174997
26, 0.111408, 0.0174997
27, 0.111482, 0.0174997
28, 0.118872, 0.0174998
29, 0.108532, 0.0174979
30, 0.109776, 0.0174917
31, 0.123395, 0.0174952
32, 0.127297, 0.0174998
33, 0.130653, 0.0174998
34, 0.140151, 0.0174998
35, 0.126367, 0.0174998
36, 0.122183, 0.0174998
37, 0.133657, 0.0174998
38, 0.13887, 0.0174998
39, 0.138724, 0.0174946
40, 0.153791, 0.0174899
41, 0.160372, 0.0174987
42, 0.154253, 0.0174995
43, 0.15737, 0.0174904
44, 0.173174, 0.017495
45, 0.187516, 0.0174988
46, 0.196356, 0.0174926
47, 0.207728, 0.0174885
48, 0.218451, 0.0174975
49, 0.223118, 0.0174915
50, 0.234256, 0.0174975
51, 0.249457, 0.0174977
52, 0.246261, 0.0174891
53, 0.268026, 0.0174978
54, 0.248376, 0.0174853
55, 0.277725, 0.0174976
56, 0.25461, 0.0174987
57, 0.258962, 0.0174988
58, 0.27603, 0.0174992
59, 0.173894, 0.0174974
60, 0.0768786, 0.0174992
61, 0.0272524, 0.0174996
62, 0.00866502, 0.0174998
63, 0.00264476, 0.0174999
64, 0.000796279, 0.0175
65, 0.00023862, 0.0175
66, 7.13671e-05, 0.0175
67, 2.13196e-05, 0.0175
68, 6.36264e-06, 0.0175
69, 1.89711e-06, 0.0175
70, 5.65161e-07, 0.0175
71, 1.68253e-07, 0.0175
72, 5.00859e-08, 0.0175
