No, norm, delta_time
1, 0.13692, 0.0375
2, 0.141442, 0.0370542
3, 0.150951, 0.0366032
4, 0.173256, 0.0361468
5, 0.223486, 0.0356847
6, 0.32244, 0.0352169
7, 0.492009, 0.0346071
8, 0.722428, 0.0322581
9, 0.971447, 0.0297767
10, 1.18769, 0.0276951
11, 1.3382, 0.0260716
12, 1.4263, 0.0247152
13, 1.48585, 0.0234763
14, 1.54824, 0.0222911
15, 1.61979, 0.0211434
16, 1.69873, 0.0200363
17, 1.787, 0.0189802
18, 1.88449, 0.0179866
19, 1.98979, 0.0170668
20, 2.10045, 0.0162305
21, 2.21299, 0.0154854
22, 2.32335, 0.014837
23, 2.42718, 0.0142885
24, 2.52034, 0.01384
25, 2.59938, 0.0134898
26, 2.66183, 0.013234
27, 2.70629, 0.0130677
28, 2.73235, 0.0129859
29, 2.74033, 0.0129843
30, 2.73099, 0.0130597
31, 2.70534, 0.0132108
32, 2.66442, 0.0134385
33, 2.60915, 0.0137467
34, 2.54026, 0.0141427
35, 2.45825, 0.0146386
36, 2.36326, 0.0152528
37, 2.25506, 0.0160133
38, 2.13291, 0.0169631
39, 1.99536, 0.0181704
40, 1.83987, 0.0197495
41, 1.66212, 0.0219071
42, 1.45438, 0.025064
43, 0.761115, 0.0302448
44, 0.302097, 0.0375
45, 0.293674, 0.037381
46, 0.246106, 0.0366872
47, 0.255047, 0.0361327
48, 0.30609, 0.0346224
49, 0.393408, 0.0327124
50, 0.534234, 0.030711
51, 0.731511, 0.0286419
52, 0.963207, 0.0265528
53, 1.19081, 0.0245223
54, 1.39377, 0.0226534
55, 1.57141, 0.0210468
56, 1.72111, 0.0197652
57, 1.8396, 0.0188124
58, 1.92728, 0.0181418
59, 1.98791, 0.017683
60, 1.46063, 0.0173674
61, 0.246113, 0.0375
62, 0.277654, 0.037026
63, 0.323274, 0.0356806
64, 0.3869, 0.0344862
65, 0.276867, 0.0335266
66, 0.413875, 0.032962
67, 0.386015, 0.0352644
68, 0.261905, 0.0326427
69, 0.169541, 0.0370844
70, 0.0931093, 0.0353634
71, 0.0472839, 0.0374618
72, 0.019406, 0.0369611
73, 0.00513434, 0.0374858
74, 0.00407198, 0.0374436
75, 0.0056012, 0.0374041
76, 0.00515265, 0.0374779
77, 0.00386666, 0.0374148
78, 0.00251321, 0.037496
79, 0.00142792, 0.0374647
80, 0.000691978, 0.0374995
81, 0.000260495, 0.0374924
82, 5.60742e-05, 0.0374999
83, 5.30868e-05, 0.0374994
84, 5.98319e-05, 0.0374988
85, 4.16688e-05, 0.0374999
86, 1.91975e-05, 0.0374995
87, 9.52483e-06, 0.0374999
88, 1.67818e-05, 0.0374998
89, 2.09911e-05, 0.0374997
90, 2.09433e-05, 0.0374999
91, 1.83189e-05, 0.0374996
92, 1.46228e-05, 0.0374999
93, 1.086e-05, 0.0374998
94, 7.57413e-06, 0.0375
95, 4.97594e-06, 0.0374999
96, 3.07242e-06, 0.0375
97, 1.76771e-06, 0.0375
98, 9.2989e-07, 0.0375
99, 4.29411e-07, 0.0375
100, 1.57189e-07, 0.0375
101, 3.24285e-08, 0.0375
