No, norm, delta_time
1, 0.140578, 0.0375
2, 0.177737, 0.0364009
3, 0.337817, 0.0342188
4, 0.615919, 0.0305153
5, 0.906192, 0.0283067
6, 1.18445, 0.0261292
7, 1.37035, 0.0242212
8, 1.49915, 0.0226089
9, 1.59848, 0.0212219
10, 1.69033, 0.0199877
11, 1.79622, 0.0188685
12, 1.90718, 0.0178574
13, 2.01163, 0.0169649
14, 2.12598, 0.016172
15, 2.51792, 0.0155115
16, 2.83415, 0.0131817
17, 2.59939, 0.0138734
18, 2.52772, 0.0141074
19, 2.49718, 0.0142122
20, 2.66806, 0.0142492
21, 2.81816, 0.0131214
22, 2.57349, 0.0139831
23, 2.61779, 0.0144068
24, 2.67858, 0.0137512
25, 2.44516, 0.0147349
26, 2.45059, 0.0153362
27, 2.46493, 0.0149115
28, 2.25093, 0.0160283
29, 2.23759, 0.0168105
30, 2.22498, 0.0165318
31, 2.08778, 0.0178352
32, 2.00754, 0.0182414
33, 1.91542, 0.0196648
34, 1.86534, 0.0201908
35, 1.77018, 0.0216836
36, 1.7248, 0.022806
37, 1.65755, 0.0241511
38, 1.56219, 0.0260985
39, 1.43922, 0.0291966
40, 1.36392, 0.0345893
41, 1.43336, 0.0311641
42, 2.11414, 0.0250704
43, 2.52768, 0.0195103
44, 2.41848, 0.0172709
45, 3.01782, 0.0185278
46, 1.93294, 0.0149631
47, 0.814409, 0.0346764
48, 1.29019, 0.030964
49, 2.96862, 0.0234626
50, 3.58132, 0.0130575
51, 3.65926, 0.0108197
52, 3.3372, 0.0112826
53, 3.17026, 0.0120001
54, 3.06705, 0.0121264
55, 2.7908, 0.0130076
56, 2.63808, 0.0136427
57, 2.75486, 0.0140977
58, 3.92414, 0.0132552
59, 2.54874, 0.0111089
60, 1.05832, 0.0341226
61, 1.90905, 0.0282546
62, 3.94179, 0.0174555
63, 2.41059, 0.0115473
64, 0.926646, 0.0371785
65, 0.859323, 0.033358
66, 1.48648, 0.0278735
67, 1.98823, 0.0219716
68, 2.22328, 0.0192579
69, 2.00187, 0.0196569
70, 1.64708, 0.0231653
71, 1.72908, 0.0272671
72, 1.13851, 0.025199
73, 0.676721, 0.0338526
74, 1.35239, 0.0274712
75, 2.10973, 0.0221842
76, 2.84433, 0.0176069
77, 1.72668, 0.0164828
78, 0.584106, 0.0374996
79, 0.637789, 0.0358944
80, 0.790219, 0.0344058
81, 0.481896, 0.0309598
82, 0.372469, 0.0365579
83, 0.22785, 0.033273
84, 0.164247, 0.0370797
85, 0.119405, 0.0351905
86, 0.0924732, 0.0372381
87, 0.0730756, 0.03608
88, 0.0575354, 0.0373366
89, 0.0423776, 0.0366043
90, 0.026707, 0.0373714
91, 0.0561286, 0.037012
92, 0.108605, 0.0362756
93, 0.14301, 0.0367709
94, 0.152695, 0.0349668
95, 0.13948, 0.0370062
96, 0.118516, 0.0353131
97, 0.0972372, 0.0372081
98, 0.0775864, 0.0359938
99, 0.0614935, 0.0373294
100, 0.0479444, 0.0365385
101, 0.0359636, 0.0374148
102, 0.0244098, 0.0369543
103, 0.0133831, 0.0374556
104, 0.0181155, 0.0373264
105, 0.0370657, 0.0370917
106, 0.0513057, 0.037234
107, 0.0574173, 0.0365231
108, 0.0557131, 0.0372953
109, 0.0502645, 0.0365548
110, 0.0431344, 0.0373666
111, 0.0358906, 0.0367953
112, 0.0293163, 0.037417
113, 0.0236163, 0.0370261
114, 0.0188934, 0.0374488
115, 0.01502, 0.0371952
116, 0.011912, 0.0374685
117, 0.00942064, 0.0373077
118, 0.00744593, 0.0374805
119, 0.00587831, 0.0373796
120, 0.00464114, 0.0374879
121, 0.00366283, 0.0374249
122, 0.0028916, 0.0374925
123, 0.00228254, 0.0374531
124, 0.00180234, 0.0374953
125, 0.0014232, 0.0374708
126, 0.00112412, 0.0374971
127, 0.000887938, 0.0374818
128, 0.00070152, 0.0374982
129, 0.000554275, 0.0374886
130, 0.000437997, 0.0374989
131, 0.00034613, 0.0374929
132, 0.000273558, 0.0374993
133, 0.000216211, 0.0374956
134, 0.000170896, 0.0374996
135, 0.000135082, 0.0374972
136, 0.000106778, 0.0374997
137, 8.44063e-05, 0.0374983
138, 6.67236e-05, 0.0374998
139, 5.2746e-05, 0.0374989
140, 4.16972e-05, 0.0374999
141, 3.2963e-05, 0.0374993
142, 2.60587e-05, 0.0374999
143, 2.06006e-05, 0.0374996
144, 1.62859e-05, 0.0375
145, 1.28749e-05, 0.0374997
146, 1.01784e-05, 0.0375
147, 8.04661e-06, 0.0374998
148, 6.36135e-06, 0.0375
149, 5.02906e-06, 0.0374999
150, 3.9758e-06, 0.0375
151, 3.14313e-06, 0.0374999
152, 2.48485e-06, 0.0375
153, 1.96444e-06, 0.0375
154, 1.55303e-06, 0.0375
155, 1.22777e-06, 0.0375
156, 9.70639e-07, 0.0375
157, 7.67356e-07, 0.0375
158, 6.06648e-07, 0.0375
159, 4.79597e-07, 0.0375
160, 3.79155e-07, 0.0375
161, 2.99748e-07, 0.0375
162, 2.36971e-07, 0.0375
163, 1.87342e-07, 0.0375
164, 1.48107e-07, 0.0375
165, 1.17089e-07, 0.0375
