No, norma, norm_delta_time, elapsed_norm_time
0, 44.9576, 0.001, 0
1, 1.89284, 0.001, 0.001
2, 1.79489, 0.001, 0.002
3, 1.72998, 0.001, 0.003
4, 1.6724, 0.001, 0.004
5, 1.61886, 0.001, 0.005
6, 1.57546, 0.001, 0.006
7, 1.53795, 0.001, 0.007
8, 1.50225, 0.001, 0.008
9, 1.47027, 0.001, 0.009
10, 1.44199, 0.001, 0.01
11, 1.4152, 0.001, 0.011
12, 1.39005, 0.001, 0.012
13, 1.3672, 0.001, 0.013
14, 1.34562, 0.001, 0.014
15, 1.3249, 0.001, 0.015
16, 1.30562, 0.001, 0.016
17, 1.28752, 0.001, 0.017
18, 1.26997, 0.001, 0.018
19, 1.25322, 0.001, 0.019
20, 1.23748, 0.001, 0.02
21, 1.22231, 0.001, 0.021
22, 1.20755, 0.001, 0.022
23, 1.1935, 0.001, 0.023
24, 1.18008, 0.001, 0.024
25, 1.16698, 0.001, 0.025
26, 1.15427, 0.001, 0.026
27, 1.14213, 0.001, 0.027
28, 1.13038, 0.001, 0.028
29, 1.11885, 0.001, 0.029
30, 1.10768, 0.001, 0.03
31, 1.09696, 0.001, 0.031
32, 1.08648, 0.001, 0.032
33, 1.07619, 0.001, 0.033
34, 1.06624, 0.001, 0.034
35, 1.05661, 0.001, 0.035
36, 1.04716, 0.001, 0.036
37, 1.03788, 0.001, 0.037
38, 1.0289, 0.001, 0.038
39, 1.02016, 0.001, 0.039
40, 1.01155, 0.001, 0.04
41, 1.00311, 0.001, 0.041
42, 0.99492, 0.001, 0.042
43, 0.986915, 0.001, 0.043
44, 0.979017, 0.001, 0.044
45, 0.971281, 0.001, 0.045
46, 0.963759, 0.001, 0.046
47, 0.95638, 0.001, 0.047
48, 0.949093, 0.001, 0.048
49, 0.941956, 0.001, 0.049
50, 0.935001, 0.001, 0.05
51, 0.928162, 0.001, 0.051
52, 0.921406, 0.001, 0.052
53, 0.914785, 0.001, 0.053
54, 0.90832, 0.001, 0.054
55, 0.901954, 0.001, 0.055
56, 0.895662, 0.001, 0.056
57, 0.889491, 0.001, 0.057
58, 0.883455, 0.001, 0.058
59, 0.877507, 0.001, 0.059
60, 0.871625, 0.001, 0.06
61, 0.865849, 0.001, 0.061
62, 0.860194, 0.001, 0.062
63, 0.854617, 0.001, 0.063
64, 0.849099, 0.001, 0.064
65, 0.843675, 0.001, 0.065
66, 0.838359, 0.001, 0.066
67, 0.833115, 0.001, 0.067
68, 0.827924, 0.001, 0.068
69, 0.822814, 0.001, 0.069
70, 0.817802, 0.001, 0.07
71, 0.812858, 0.001, 0.071
72, 0.807961, 0.001, 0.072
73, 0.803136, 0.001, 0.073
74, 0.798398, 0.001, 0.074
75, 0.793724, 0.001, 0.075
76, 0.789095, 0.001, 0.076
77, 0.784527, 0.001, 0.077
78, 0.780038, 0.001, 0.078
79, 0.775611, 0.001, 0.079
80, 0.771226, 0.001, 0.08
81, 0.766892, 0.001, 0.081
82, 0.76263, 0.001, 0.082
83, 0.758428, 0.001, 0.083
84, 0.754266, 0.001, 0.084
85, 0.750148, 0.001, 0.085
86, 0.746092, 0.001, 0.086
87, 0.742095, 0.001, 0.087
88, 0.738138, 0.001, 0.088
89, 0.734219, 0.001, 0.089
90, 0.730354, 0.001, 0.09
91, 0.726545, 0.001, 0.091
92, 0.722777, 0.001, 0.092
93, 0.719041, 0.001, 0.093
94, 0.715352, 0.001, 0.094
95, 0.711717, 0.001, 0.095
96, 0.708122, 0.001, 0.096
97, 0.704557, 0.001, 0.097
98, 0.701032, 0.001, 0.098
99, 0.697555, 0.001, 0.099
100, 0.694121, 0.001, 0.1
101, 0.690716, 0.001, 0.101
102, 0.687343, 0.001, 0.102
103, 0.684014, 0.001, 0.103
104, 0.680727, 0.001, 0.104
105, 0.67747, 0.001, 0.105
106, 0.67424, 0.001, 0.106
107, 0.671048, 0.001, 0.107
108, 0.667897, 0.001, 0.108
109, 0.664778, 0.001, 0.109
110, 0.661683, 0.001, 0.11
111, 0.65862, 0.001, 0.111
112, 0.655596, 0.001, 0.112
113, 0.652604, 0.001, 0.113
114, 0.649636, 0.001, 0.114
115, 0.646694, 0.001, 0.115
116, 0.643787, 0.001, 0.116
117, 0.640913, 0.001, 0.117
118, 0.638064, 0.001, 0.118
119, 0.635238, 0.001, 0.119
120, 0.632441, 0.001, 0.12
121, 0.629676, 0.001, 0.121
122, 0.626938, 0.001, 0.122
123, 0.624221, 0.001, 0.123
124, 0.621528, 0.001, 0.124
125, 0.618865, 0.001, 0.125
126, 0.61623, 0.001, 0.126
127, 0.613617, 0.001, 0.127
128, 0.611023, 0.001, 0.128
129, 0.608456, 0.001, 0.129
130, 0.605917, 0.001, 0.13
131, 0.6034, 0.001, 0.131
132, 0.600902, 0.001, 0.132
133, 0.598425, 0.001, 0.133
134, 0.595975, 0.001, 0.134
135, 0.593548, 0.001, 0.135
136, 0.59114, 0.001, 0.136
137, 0.588751, 0.001, 0.137
138, 0.586384, 0.001, 0.138
139, 0.584042, 0.001, 0.139
140, 0.581719, 0.001, 0.14
141, 0.579413, 0.001, 0.141
142, 0.577126, 0.001, 0.142
143, 0.574862, 0.001, 0.143
144, 0.572618, 0.001, 0.144
145, 0.570392, 0.001, 0.145
146, 0.568182, 0.001, 0.146
147, 0.565991, 0.001, 0.147
148, 0.563822, 0.001, 0.148
149, 0.561671, 0.001, 0.149
150, 0.559534, 0.001, 0.15
151, 0.557415, 0.001, 0.151
152, 0.555315, 0.001, 0.152
153, 0.553234, 0.001, 0.153
154, 0.551169, 0.001, 0.154
155, 0.549118, 0.001, 0.155
156, 0.547085, 0.001, 0.156
157, 0.545072, 0.001, 0.157
158, 0.543077, 0.001, 0.158
159, 0.5411, 0.001, 0.159
160, 0.539143, 0.001, 0.16
161, 0.537216, 0.001, 0.161
162, 0.535326, 0.001, 0.162
163, 0.533485, 0.001, 0.163
164, 0.53172, 0.001, 0.164
165, 0.530073, 0.001, 0.165
166, 0.528617, 0.001, 0.166
167, 0.527457, 0.001, 0.167
168, 0.526756, 0.001, 0.168
169, 0.526752, 0.001, 0.169
170, 0.527776, 0.001, 0.17
171, 0.530243, 0.001, 0.171
172, 0.534627, 0.001, 0.172
173, 0.541391, 0.001, 0.173
174, 0.550865, 0.001, 0.174
175, 0.563109, 0.001, 0.175
176, 0.577785, 0.001, 0.176
177, 0.594124, 0.001, 0.177
178, 0.61101, 0.001, 0.178
179, 0.627162, 0.001, 0.179
180, 0.641336, 0.001, 0.18
181, 0.652508, 0.001, 0.181
182, 0.65998, 0.001, 0.182
183, 0.663409, 0.001, 0.183
184, 0.662782, 0.001, 0.184
185, 0.658343, 0.001, 0.185
186, 0.650518, 0.001, 0.186
187, 0.639837, 0.001, 0.187
188, 0.626865, 0.001, 0.188
189, 0.612164, 0.001, 0.189
190, 0.596255, 0.001, 0.19
191, 0.579602, 0.001, 0.191
192, 0.562608, 0.001, 0.192
193, 0.545609, 0.001, 0.193
194, 0.528879, 0.001, 0.194
195, 0.512631, 0.001, 0.195
196, 0.497031, 0.001, 0.196
197, 0.482194, 0.001, 0.197
198, 0.468202, 0.001, 0.198
199, 0.455101, 0.001, 0.199
200, 0.442911, 0.001, 0.2
201, 0.431631, 0.001, 0.201
202, 0.421244, 0.001, 0.202
203, 0.411719, 0.001, 0.203
204, 0.403019, 0.001, 0.204
205, 0.395096, 0.001, 0.205
206, 0.3879, 0.001, 0.206
207, 0.381379, 0.001, 0.207
208, 0.37548, 0.001, 0.208
209, 0.37015, 0.001, 0.209
210, 0.36534, 0.001, 0.21
211, 0.361002, 0.001, 0.211
212, 0.357089, 0.001, 0.212
213, 0.35356, 0.001, 0.213
214, 0.350375, 0.001, 0.214
215, 0.347499, 0.001, 0.215
216, 0.344899, 0.001, 0.216
217, 0.342546, 0.001, 0.217
218, 0.340412, 0.001, 0.218
219, 0.338473, 0.001, 0.219
220, 0.336709, 0.001, 0.22
221, 0.335099, 0.001, 0.221
222, 0.333627, 0.001, 0.222
223, 0.332279, 0.001, 0.223
224, 0.331043, 0.001, 0.224
225, 0.329907, 0.001, 0.225
226, 0.328859, 0.001, 0.226
227, 0.327888, 0.001, 0.227
228, 0.326984, 0.001, 0.228
229, 0.326147, 0.001, 0.229
230, 0.325372, 0.001, 0.23
231, 0.324651, 0.001, 0.231
232, 0.323975, 0.001, 0.232
233, 0.323334, 0.001, 0.233
234, 0.322721, 0.001, 0.234
235, 0.322147, 0.001, 0.235
236, 0.321611, 0.001, 0.236
237, 0.321109, 0.001, 0.237
238, 0.320634, 0.001, 0.238
239, 0.320168, 0.001, 0.239
240, 0.319705, 0.001, 0.24
241, 0.319263, 0.001, 0.241
242, 0.31885, 0.001, 0.242
243, 0.318463, 0.001, 0.243
244, 0.318096, 0.001, 0.244
245, 0.317732, 0.001, 0.245
246, 0.317347, 0.001, 0.246
247, 0.316969, 0.001, 0.247
248, 0.316612, 0.001, 0.248
249, 0.31628, 0.001, 0.249
250, 0.31597, 0.001, 0.25
251, 0.315667, 0.001, 0.251
252, 0.315331, 0.001, 0.252
253, 0.314982, 0.001, 0.253
254, 0.314646, 0.001, 0.254
255, 0.314333, 0.001, 0.255
256, 0.314046, 0.001, 0.256
257, 0.313775, 0.001, 0.257
258, 0.313479, 0.001, 0.258
259, 0.313144, 0.001, 0.259
260, 0.312812, 0.001, 0.26
261, 0.312499, 0.001, 0.261
262, 0.312212, 0.001, 0.262
263, 0.311951, 0.001, 0.263
264, 0.311687, 0.001, 0.264
265, 0.311365, 0.001, 0.265
266, 0.31103, 0.001, 0.266
267, 0.310707, 0.001, 0.267
268, 0.31041, 0.001, 0.268
269, 0.310142, 0.001, 0.269
270, 0.309891, 0.001, 0.27
271, 0.309589, 0.001, 0.271
272, 0.309252, 0.001, 0.272
273, 0.308917, 0.001, 0.273
274, 0.308603, 0.001, 0.274
275, 0.30832, 0.001, 0.275
276, 0.308065, 0.001, 0.276
277, 0.307786, 0.001, 0.277
278, 0.307449, 0.001, 0.278
279, 0.307104, 0.001, 0.279
280, 0.306774, 0.001, 0.28
281, 0.306472, 0.001, 0.281
282, 0.306203, 0.001, 0.282
283, 0.305938, 0.001, 0.283
284, 0.305605, 0.001, 0.284
285, 0.305253, 0.001, 0.285
286, 0.304908, 0.001, 0.286
287, 0.304588, 0.001, 0.287
288, 0.304301, 0.001, 0.288
289, 0.304038, 0.001, 0.289
290, 0.303711, 0.001, 0.29
291, 0.303354, 0.001, 0.291
292, 0.302999, 0.001, 0.292
293, 0.302663, 0.001, 0.293
294, 0.302359, 0.001, 0.294
295, 0.302086, 0.001, 0.295
296, 0.301766, 0.001, 0.296
297, 0.301406, 0.001, 0.297
298, 0.301043, 0.001, 0.298
299, 0.300695, 0.001, 0.299
300, 0.300376, 0.001, 0.3
301, 0.30009, 0.001, 0.301
302, 0.299772, 0.001, 0.302
303, 0.299409, 0.001, 0.303
304, 0.299041, 0.001, 0.304
305, 0.298684, 0.001, 0.305
306, 0.298353, 0.001, 0.306
307, 0.298055, 0.001, 0.307
308, 0.297733, 0.001, 0.308
309, 0.297366, 0.001, 0.309
310, 0.296994, 0.001, 0.31
311, 0.29663, 0.001, 0.311
312, 0.296291, 0.001, 0.312
313, 0.295982, 0.001, 0.313
314, 0.295652, 0.001, 0.314
315, 0.295281, 0.001, 0.315
316, 0.294906, 0.001, 0.316
317, 0.294539, 0.001, 0.317
318, 0.294193, 0.001, 0.318
319, 0.293877, 0.001, 0.319
320, 0.293534, 0.001, 0.32
321, 0.293159, 0.001, 0.321
322, 0.292781, 0.001, 0.322
323, 0.292412, 0.001, 0.323
324, 0.292064, 0.001, 0.324
325, 0.291741, 0.001, 0.325
326, 0.291383, 0.001, 0.326
327, 0.291004, 0.001, 0.327
328, 0.290626, 0.001, 0.328
329, 0.290257, 0.001, 0.329
330, 0.289908, 0.001, 0.33
331, 0.289577, 0.001, 0.331
332, 0.289204, 0.001, 0.332
333, 0.288823, 0.001, 0.333
334, 0.288445, 0.001, 0.334
335, 0.288078, 0.001, 0.335
336, 0.28773, 0.001, 0.336
337, 0.287383, 0.001, 0.337
338, 0.287002, 0.001, 0.338
339, 0.286621, 0.001, 0.339
340, 0.286245, 0.001, 0.34
341, 0.285881, 0.001, 0.341
342, 0.285534, 0.001, 0.342
343, 0.285167, 0.001, 0.343
344, 0.284785, 0.001, 0.344
345, 0.284405, 0.001, 0.345
346, 0.284033, 0.001, 0.346
347, 0.283673, 0.001, 0.347
348, 0.283321, 0.001, 0.348
349, 0.282939, 0.001, 0.349
350, 0.282558, 0.001, 0.35
351, 0.282182, 0.001, 0.351
352, 0.281814, 0.001, 0.352
353, 0.281459, 0.001, 0.353
354, 0.281088, 0.001, 0.354
355, 0.280707, 0.001, 0.355
356, 0.28033, 0.001, 0.356
357, 0.279958, 0.001, 0.357
358, 0.279597, 0.001, 0.358
359, 0.279236, 0.001, 0.359
360, 0.278855, 0.001, 0.36
361, 0.278478, 0.001, 0.361
362, 0.278106, 0.001, 0.362
363, 0.277741, 0.001, 0.363
364, 0.277383, 0.001, 0.364
365, 0.277006, 0.001, 0.365
366, 0.276631, 0.001, 0.366
367, 0.27626, 0.001, 0.367
368, 0.275894, 0.001, 0.368
369, 0.275536, 0.001, 0.369
370, 0.275166, 0.001, 0.37
371, 0.274792, 0.001, 0.371
