No, norma, norm_delta_time, elapsed_norm_time
0, 44.9576, 0.00185797, 0
1, 3.14443, 0.00185797, 0.00185797
2, 2.81419, 0.00186999, 0.00372796
3, 2.60524, 0.00188496, 0.00561292
4, 2.44545, 0.0018946, 0.00750753
5, 2.31841, 0.00190178, 0.00940931
6, 2.21794, 0.00191186, 0.0113212
7, 2.13606, 0.00192386, 0.013245
8, 2.06314, 0.00193284, 0.0151779
9, 1.99833, 0.00194037, 0.0171182
10, 1.94348, 0.00195034, 0.0190686
11, 1.89079, 0.00195627, 0.0210248
12, 1.84538, 0.00196457, 0.0229894
13, 1.80574, 0.00197479, 0.0249642
14, 1.76792, 0.00198328, 0.0269475
15, 1.73335, 0.00199214, 0.0289396
16, 1.70233, 0.00200226, 0.0309419
17, 1.67174, 0.0020103, 0.0329522
18, 1.64416, 0.00201967, 0.0349719
19, 1.61689, 0.00202726, 0.0369991
20, 1.59155, 0.00203532, 0.0390344
21, 1.56707, 0.00204267, 0.0410771
22, 1.54352, 0.00204952, 0.0431266
23, 1.5214, 0.00205671, 0.0451833
24, 1.49941, 0.00206258, 0.0472459
25, 1.47927, 0.00206963, 0.0493155
26, 1.45869, 0.00207473, 0.0513903
27, 1.43995, 0.00208124, 0.0534715
28, 1.42094, 0.00208617, 0.0555577
29, 1.40344, 0.00209224, 0.0576499
30, 1.3858, 0.00209701, 0.0597469
31, 1.36943, 0.00210276, 0.0618497
32, 1.35295, 0.00210736, 0.063957
33, 1.33762, 0.00211287, 0.0660699
34, 1.32216, 0.0021173, 0.0681872
35, 1.30777, 0.00212264, 0.0703099
36, 1.29319, 0.00212687, 0.0724367
37, 1.27967, 0.00213212, 0.0745689
38, 1.26587, 0.00213614, 0.076705
39, 1.25315, 0.00214133, 0.0788463
40, 1.24003, 0.00214514, 0.0809915
41, 1.22806, 0.00215032, 0.0831418
42, 1.21555, 0.0021539, 0.0852957
43, 1.20427, 0.0021591, 0.0874548
44, 1.19229, 0.00216245, 0.0896172
45, 1.18166, 0.00216771, 0.0917849
46, 1.17016, 0.00217082, 0.0939558
47, 1.16002, 0.00217593, 0.0961317
48, 1.14907, 0.00217903, 0.0983107
49, 1.13932, 0.00218391, 0.100495
50, 1.12894, 0.00218709, 0.102682
51, 1.11955, 0.00219174, 0.104873
52, 1.10969, 0.00219502, 0.107068
53, 1.10062, 0.00219942, 0.109268
54, 1.09127, 0.00220283, 0.111471
55, 1.08249, 0.00220699, 0.113678
56, 1.0736, 0.00221053, 0.115888
57, 1.06509, 0.00221445, 0.118103
58, 1.05665, 0.00221814, 0.120321
59, 1.04838, 0.0022218, 0.122543
60, 1.04036, 0.00222566, 0.124768
61, 1.03231, 0.00222907, 0.126997
62, 1.0247, 0.00223311, 0.12923
63, 1.01684, 0.00223625, 0.131467
64, 1.00961, 0.00224048, 0.133707
65, 1.00193, 0.00224336, 0.135951
66, 0.995077, 0.00224779, 0.138198
67, 0.987562, 0.0022504, 0.140449
68, 0.980951, 0.00225479, 0.142704
69, 0.973699, 0.00225738, 0.144961
70, 0.967241, 0.00226152, 0.147222
71, 0.960347, 0.0022643, 0.149487
72, 0.954075, 0.00226819, 0.151755
73, 0.947626, 0.00227117, 0.154026
74, 0.941749, 0.0022748, 0.156301
75, 0.936189, 0.00227798, 0.158579
76, 0.9316, 0.00228136, 0.16086
77, 0.928609, 0.00228476, 0.163145
78, 0.928248, 0.00228788, 0.165433
79, 0.932506, 0.0022915, 0.167724
80, 0.942892, 0.00229435, 0.170019
81, 0.961834, 0.00229821, 0.172317
82, 0.988751, 0.0023008, 0.174618
83, 1.0228, 0.00230494, 0.176923
84, 1.05821, 0.00230728, 0.17923
85, 1.09082, 0.00231126, 0.181541
86, 1.1143, 0.00231425, 0.183855
87, 1.12603, 0.00231824, 0.186174
88, 1.12491, 0.00232368, 0.188497
89, 1.11112, 0.00232979, 0.190827
90, 1.08679, 0.00233719, 0.193164
91, 1.05473, 0.00234667, 0.195511
92, 1.01709, 0.00235713, 0.197868
93, 0.976282, 0.00236832, 0.200236
94, 0.934744, 0.00238085, 0.202617
95, 0.89432, 0.00239496, 0.205012
96, 0.856459, 0.00241099, 0.207423
97, 0.821205, 0.00242616, 0.209849
98, 0.789579, 0.00244137, 0.212291
99, 0.762461, 0.00245831, 0.214749
100, 0.739971, 0.00247723, 0.217226
101, 0.72056, 0.00249317, 0.21972
102, 0.705384, 0.00251078, 0.22223
103, 0.694187, 0.00253053, 0.224761
104, 0.68554, 0.0025487, 0.22731
105, 0.679531, 0.00256702, 0.229877
106, 0.676287, 0.00258754, 0.232464
107, 0.674643, 0.00260733, 0.235071
108, 0.674313, 0.00262651, 0.237698
109, 0.675764, 0.00264804, 0.240346
110, 0.677956, 0.00266885, 0.243015
111, 0.680699, 0.00268911, 0.245704
112, 0.684646, 0.00271197, 0.248416
113, 0.688545, 0.00273327, 0.251149
114, 0.692835, 0.00275494, 0.253904
115, 0.697976, 0.00277957, 0.256684
116, 0.702405, 0.0028008, 0.259484
117, 0.707355, 0.00282431, 0.262309
118, 0.712656, 0.00284908, 0.265158
119, 0.717309, 0.00287184, 0.26803
120, 0.722731, 0.00289782, 0.270928
121, 0.727451, 0.00292178, 0.273849
122, 0.732435, 0.0029471, 0.276796
123, 0.737545, 0.00297389, 0.27977
124, 0.742113, 0.00299888, 0.282769
125, 0.747376, 0.00302777, 0.285797
126, 0.751645, 0.003053, 0.28885
127, 0.756482, 0.00308178, 0.291932
128, 0.760975, 0.00310942, 0.295041
