No, norma, norm_delta_time, elapsed_time
0, 44.9576, 0.00260116, 0
1, 4.23759, 0.00260116, 0.00260116
2, 4.23759, 0.00260116, 0.00260116
3, 3.67547, 0.00262584, 0.005227
4, 3.35459, 0.00265595, 0.00788294
5, 3.11142, 0.0026687, 0.0105516
6, 2.93213, 0.00268894, 0.0132406
7, 2.78714, 0.00270687, 0.0159474
8, 2.66491, 0.00272167, 0.0186691
9, 2.56028, 0.00273504, 0.0214041
10, 2.47193, 0.00275079, 0.0241549
11, 2.39842, 0.00277149, 0.0269264
12, 2.33007, 0.0027885, 0.0297149
13, 2.27094, 0.00280854, 0.0325235
14, 2.21524, 0.00282587, 0.0353493
15, 2.16418, 0.00284301, 0.0381923
16, 2.11631, 0.00285889, 0.0410512
17, 2.07138, 0.00287383, 0.0439251
18, 2.02854, 0.00288717, 0.0468122
19, 1.98779, 0.00289932, 0.0497116
20, 1.94951, 0.00291128, 0.0526228
21, 1.91369, 0.00292348, 0.0555463
22, 1.87916, 0.00293442, 0.0584807
23, 1.84602, 0.00294452, 0.0614253
24, 1.81496, 0.00295516, 0.0643804
25, 1.78562, 0.00296605, 0.0673465
26, 1.75652, 0.00297487, 0.0703213
27, 1.72921, 0.00298442, 0.0733057
28, 1.70368, 0.00299496, 0.0763007
29, 1.67795, 0.00300309, 0.0793038
30, 1.65365, 0.00301184, 0.0823156
31, 1.63092, 0.00302168, 0.0853373
32, 1.60811, 0.00302964, 0.088367
33, 1.5863, 0.0030378, 0.0914048
34, 1.56588, 0.0030471, 0.0944519
35, 1.54543, 0.00305485, 0.0975067
36, 1.5257, 0.00306257, 0.100569
37, 1.50722, 0.00307146, 0.103641
38, 1.48869, 0.00307895, 0.10672
39, 1.47074, 0.00308634, 0.109806
40, 1.45391, 0.00309492, 0.112901
41, 1.43697, 0.00310211, 0.116003
42, 1.42054, 0.00310926, 0.119112
43, 1.40514, 0.0031176, 0.12223
44, 1.38954, 0.00312448, 0.125354
45, 1.37444, 0.00313143, 0.128486
46, 1.36028, 0.00313959, 0.131625
47, 1.34583, 0.00314614, 0.134772
48, 1.33189, 0.00315295, 0.137925
49, 1.31882, 0.00316098, 0.141086
50, 1.30536, 0.00316717, 0.144253
51, 1.2925, 0.00317388, 0.147427
52, 1.28053, 0.00318181, 0.150608
53, 1.26828, 0.00318764, 0.153796
54, 1.2573, 0.00319429, 0.15699
55, 1.24858, 0.00320207, 0.160192
56, 1.24272, 0.0032076, 0.1634
57, 1.24442, 0.00321421, 0.166614
58, 1.25858, 0.00322159, 0.169836
59, 1.28895, 0.00322711, 0.173063
60, 1.33692, 0.00323373, 0.176297
61, 1.39424, 0.00324074, 0.179537
62, 1.44579, 0.00324654, 0.182784
