No, norma, norm_delta_time, elapsed_time
1, 4.92566, 0.000650289, 0
2, 4.92566, 0.000650289, 0.000650289
3, 5.05904, 0.000653218, 0.00130351
4, 4.9629, 0.00065431, 0.00195782
5, 4.97497, 0.000662435, 0.00262025
6, 5.17218, 0.000668314, 0.00328857
7, 5.15934, 0.000672508, 0.00396107
8, 4.83601, 0.000677228, 0.0046383
9, 4.62904, 0.000681178, 0.00531948
10, 4.76088, 0.0006858, 0.00600528
11, 4.7595, 0.000690082, 0.00669536
12, 4.43158, 0.000691961, 0.00738732
13, 4.19965, 0.000694856, 0.00808218
14, 4.28766, 0.000697175, 0.00877935
15, 4.30462, 0.000700587, 0.00947994
16, 4.10109, 0.000704315, 0.0101843
17, 4.01473, 0.000706714, 0.010891
18, 4.0938, 0.000708064, 0.011599
19, 3.98291, 0.000708307, 0.0123073
20, 3.72042, 0.000708679, 0.013016
21, 3.66536, 0.00070961, 0.0137256
22, 3.73667, 0.000711905, 0.0144375
23, 3.66897, 0.000715578, 0.0151531
24, 3.60558, 0.000720881, 0.015874
25, 3.63283, 0.0007206, 0.0165946
26, 3.54108, 0.000720033, 0.0173146
27, 3.31737, 0.000719881, 0.0180345
28, 3.25249, 0.000720766, 0.0187553
29, 3.31593, 0.000723312, 0.0194786
30, 3.29923, 0.000727823, 0.0202064
31, 3.27692, 0.000731883, 0.0209383
32, 3.27204, 0.000731304, 0.0216696
33, 3.14355, 0.000730851, 0.0224004
34, 2.97439, 0.000731212, 0.0231317
35, 2.96933, 0.000733073, 0.0238647
36, 3.01404, 0.000737008, 0.0246017
37, 2.99945, 0.000742964, 0.0253447
38, 2.98197, 0.000742533, 0.0260872
39, 2.93598, 0.000742242, 0.0268295
40, 2.79767, 0.000742498, 0.027572
41, 2.72493, 0.000744047, 0.028316
42, 2.76092, 0.000747564, 0.0290636
43, 2.76749, 0.000753709, 0.0298173
44, 2.73397, 0.00075356, 0.0305709
45, 2.71662, 0.000753477, 0.0313243
46, 2.63616, 0.000753824, 0.0320782
47, 2.55135, 0.000755253, 0.0328334
48, 2.56076, 0.000758508, 0.0335919
49, 2.57582, 0.000764299, 0.0343562
50, 2.53682, 0.000764147, 0.0351204
51, 2.52176, 0.000764217, 0.0358846
52, 2.48125, 0.000764687, 0.0366493
