No, norma, norm_delta_time, elapsed_time
1, 4.92358, 0.00260116, 0
2, 4.92358, 0.00260116, 0.00260116
3, 5.0663, 0.00261159, 0.00521274
4, 4.97794, 0.00261581, 0.00782855
5, 5.00823, 0.002648, 0.0104766
6, 5.22274, 0.00267123, 0.0131478
7, 5.19904, 0.00268829, 0.0158361
8, 4.86004, 0.00270816, 0.0185442
9, 4.67209, 0.00272475, 0.021269
10, 4.83109, 0.00274372, 0.0240127
11, 4.81685, 0.00276099, 0.0267737
12, 4.46026, 0.0027687, 0.0295424
13, 4.23276, 0.00278069, 0.0323231
14, 4.34208, 0.00279009, 0.0351132
15, 4.34962, 0.00280343, 0.0379166
16, 4.12157, 0.00281725, 0.0407338
17, 4.03765, 0.00282491, 0.0435587
18, 4.13671, 0.00283429, 0.046393
19, 4.01952, 0.00283542, 0.0492285
20, 3.75165, 0.00283719, 0.0520657
21, 3.7127, 0.00284114, 0.0549068
22, 3.78405, 0.0028504, 0.0577572
23, 3.68898, 0.00286446, 0.0606217
24, 3.61127, 0.00288434, 0.063506
25, 3.65486, 0.00288649, 0.0663925
26, 3.57054, 0.00288466, 0.0692771
27, 3.3486, 0.00288451, 0.0721617
28, 3.29403, 0.00288827, 0.0750499
29, 3.35211, 0.00289825, 0.0779482
30, 3.30642, 0.00291532, 0.0808635
31, 3.27247, 0.00293291, 0.0837964
32, 3.28384, 0.00293112, 0.0867275
33, 3.17086, 0.00292969, 0.0896572
34, 3.00902, 0.00293129, 0.0925885
35, 3.00813, 0.0029384, 0.0955269
36, 3.03904, 0.00295311, 0.09848
37, 3.00132, 0.00297744, 0.101457
38, 2.98427, 0.00297614, 0.104434
39, 2.95981, 0.0029752, 0.107409
40, 2.83442, 0.00297617, 0.110385
41, 2.7644, 0.00298183, 0.113367
42, 2.79661, 0.00299462, 0.116361
43, 2.78497, 0.00301701, 0.119378
44, 2.74243, 0.00301947, 0.122398
45, 2.73875, 0.00301918, 0.125417
46, 2.67408, 0.00302029, 0.128437
47, 2.59112, 0.00302525, 0.131463
48, 2.59854, 0.00303682, 0.134499
49, 2.60045, 0.00305309, 0.137553
50, 2.55294, 0.00305829, 0.140611
